grade,gpa,chronicly_absent,days_absent,act_taken,read_scale,writing_scale,math_scale,female,white,special_ed,plan_504,free_and_reduced,gifted
10,3.054,1,30.01,0,530,480,502,1,1,1,0,0,0
11,3.357,0,11.63,1,603,691,656,1,1,0,0,0,0
10,2.801,0,9.43,0,567,578,552,1,1,0,0,0,0
9,3.614,0,3.98,0,557,553,552,0,1,1,0,0,0
11,2.939,0,0.77,1,549,576,578,0,0,0,0,1,0
11,3.545,0,1.25,1,593,576,656,0,1,0,0,0,0
11,1.959,0,15.45,0,549,518,536,0,1,1,0,1,0
11,2.778,0,2.08,0,517,525,519,0,1,1,0,0,0
11,3.793,0,2.05,1,800,648,765,1,1,0,0,0,0
11,3.688,0,9.58,1,662,648,800,0,1,0,0,0,0
10,3.854,0,7.19,1,621,648,676,1,1,0,0,1,1
11,3.555,0,0.31,1,603,612,610,0,1,0,1,0,0
11,2.379,0,4.52,1,549,583,590,0,1,0,0,0,0
11,3.698,1,18.24,1,593,633,708,1,1,0,0,0,0
11,2.948,0,0.12,1,636,669,675,0,1,0,0,0,0
11,3.107,0,2.84,1,603,597,632,0,1,0,0,0,0
11,3.7,0,8.76,1,677,662,648,1,1,0,0,0,0
10,2.708,0,1.9,0,567,508,544,0,1,0,0,0,0
11,2.304,0,8.19,0,549,576,603,0,1,0,0,0,0
11,2.896,0,7.77,1,575,605,610,1,1,0,0,0,0
11,2.847,0,4.13,1,636,619,656,0,1,0,0,0,0
11,2.655,0,8.19,1,614,590,632,0,1,0,0,0,0
11,2.817,0,2.17,1,566,597,590,1,1,0,0,0,0
11,3.733,0,2.15,1,614,605,690,1,1,0,0,0,0
11,2.488,0,16.41,0,614,561,617,0,1,0,1,0,0
10,3.299,0,7.92,0,647,501,615,0,1,0,1,0,0
10,2.235,0,13.79,0,567,578,482,1,1,1,0,1,0
11,3.214,0,0.64,1,603,597,578,1,1,0,0,0,0
11,3.04,0,0.48,1,558,597,578,0,1,0,0,0,0
10,2.463,0,6.79,0,530,522,537,0,1,0,0,0,0
11,3.458,0,5.33,1,603,633,665,1,1,0,1,0,0
11,3.841,0,7.45,1,648,626,625,1,1,0,0,0,0
11,3.663,0,4.47,1,558,605,656,1,1,0,0,0,0
11,3.048,0,3.74,1,624,619,536,1,1,1,0,0,0
11,2.47,0,7.05,0,510,569,554,0,1,0,0,0,0
11,3.439,0,5.93,1,593,619,625,1,1,0,0,0,0
11,2.309,0,10.93,0,558,533,578,0,1,0,0,1,0
11,3.227,0,1.01,1,662,619,665,0,1,0,0,0,0
11,3.3,0,0.17,1,584,633,690,0,1,0,0,0,0
11,2.797,0,3.89,1,603,540,648,0,1,0,0,0,0
11,2.902,1,19.56,1,614,605,610,1,1,0,0,1,0
11,2.13,1,22.46,0,525,504,508,1,1,0,0,0,0
11,2.433,1,18.54,0,636,641,640,0,1,0,0,1,0
11,3.42,0,0.89,1,636,662,720,0,0,0,0,0,0
11,3.864,0,5.4,1,662,669,648,1,1,0,0,0,0
11,2.682,0,5.24,1,603,619,648,0,1,0,0,0,0
11,2.964,0,2.07,1,624,626,617,0,1,0,0,0,0
11,2.478,0,12.82,1,624,576,554,1,1,0,0,0,0
11,3.213,0,6.29,1,636,633,665,0,1,0,0,0,0
11,3.386,0,1.38,1,677,677,617,0,1,0,0,0,0
11,2.785,0,4.4,0,705,662,665,1,1,0,0,0,0
11,2.961,0,6.14,1,584,626,675,1,1,0,0,0,0
11,3.783,0,13.26,1,705,655,690,1,1,0,0,0,0
11,3.811,0,3.2,1,662,677,690,0,1,0,0,0,0
11,3.896,0,3.67,1,648,700,665,1,1,0,0,0,0
11,3.526,0,1.76,1,636,583,656,1,1,0,0,0,0
10,3.957,0,0,1,598,620,654,0,1,0,0,0,0
11,2.683,0,0.89,0,603,619,617,1,1,0,0,0,0
11,3.531,0,6.58,1,624,597,656,0,1,0,0,0,0
11,2.504,0,7.82,1,549,525,571,1,1,0,0,0,0
11,3.036,0,6.23,1,549,597,548,1,1,0,0,0,0
11,3.902,0,2.67,1,662,700,690,1,1,0,0,0,0
11,3.081,0,2.32,0,566,612,597,1,1,0,0,0,0
11,3.016,0,1.34,0,584,540,590,0,1,0,0,0,0
11,2.382,0,1.13,1,648,677,632,0,1,0,0,0,0
11,3.956,0,3.27,1,745,700,740,1,0,0,0,0,0
11,3.572,0,3.9,1,648,641,640,1,1,0,0,0,0
11,2.802,0,7.82,1,603,612,603,0,1,0,0,0,0
11,3.436,1,19.24,1,677,648,675,1,1,0,1,0,0
11,2.522,0,11.97,1,510,533,571,0,1,0,0,0,0
11,3.905,0,0.13,1,603,662,640,0,1,0,0,0,0
11,3.799,0,9.05,1,648,641,640,1,1,0,0,0,0
11,3.987,0,1.4,1,677,677,665,1,1,0,0,0,0
11,3.083,0,3.56,1,677,648,800,0,1,0,0,0,0
11,2.921,0,2.89,1,677,619,740,0,1,0,0,0,0
11,3.158,0,5.98,1,614,619,648,0,1,0,0,0,0
11,4,0,0,1,745,740,740,1,1,0,0,0,1
11,2.725,0,4.13,1,624,554,554,0,1,0,0,0,0
11,3.467,0,5.19,1,603,633,597,1,1,0,0,0,0
11,3.853,0,2.79,1,662,648,708,1,1,0,0,0,0
11,3.513,0,0.91,1,662,648,708,0,1,0,0,0,0
11,3.083,0,11.26,0,584,583,565,1,1,0,1,0,0
11,2.935,0,2.71,1,636,691,740,0,1,0,0,0,0
11,3.932,0,14.38,1,705,740,800,1,0,0,0,0,0
11,2.129,0,0,0,549,496,565,0,1,0,1,0,0
11,2.763,1,23.63,0,603,597,584,1,1,0,0,0,0
11,2.984,0,4.89,1,648,626,690,0,1,0,0,0,0
11,3.033,0,6.28,1,495,489,531,0,1,0,0,0,0
11,3.536,0,8.54,1,614,641,690,0,1,0,0,0,1
11,3.079,0,5.02,1,636,626,720,0,1,0,0,0,0
11,3.754,0,5.14,1,648,648,665,1,0,0,0,1,0
11,2.204,0,15.2,0,603,583,617,1,1,0,0,0,0
11,2.936,0,5.53,1,636,597,610,0,1,0,0,0,0
11,2.611,0,6.41,1,558,547,625,0,1,0,0,0,0
11,3.767,0,13.77,1,662,684,640,1,1,0,0,0,0
10,3.448,0,3.32,0,587,634,688,0,1,0,0,0,0
9,3.719,0,3.1,0,635,617,650,1,0,0,0,0,0
11,3.168,0,13.42,1,558,561,603,1,1,0,0,0,0
9,2.877,0,10.22,0,579,585,578,1,1,0,0,0,0
9,2.825,0,0.31,0,592,625,677,1,0,0,0,0,0
11,2.834,0,7.63,1,624,583,625,0,1,0,0,0,0
11,3.278,0,2.31,1,593,633,617,0,1,0,0,0,0
11,2.902,0,4.95,0,648,626,610,0,1,0,0,0,0
11,3.482,0,5.65,1,636,648,640,1,1,0,0,0,0
11,3.476,0,14.25,1,648,619,720,1,1,0,0,0,0
11,3.387,0,12.24,1,705,648,648,1,1,0,0,0,0
11,3.953,0,3.05,1,624,684,720,1,1,0,0,0,0
11,2.945,0,4.99,1,593,626,610,1,1,0,0,0,0
11,3.622,0,2.5,1,593,626,690,0,1,0,0,0,0
11,3.208,0,4.03,1,624,569,610,1,1,0,0,0,0
11,3.302,0,10.24,1,636,612,590,1,1,0,0,0,0
11,3.293,0,2.15,1,648,626,617,0,1,0,0,0,0
11,3.33,0,10.13,1,662,626,675,0,1,0,0,0,0
11,3.715,0,1.44,1,636,684,648,1,1,0,0,0,0
11,3.46,0,6.72,1,705,655,675,0,1,0,0,0,0
11,3.75,0,0.89,1,636,669,708,0,1,0,0,0,0
11,3.366,0,3.03,1,636,648,720,0,1,0,0,0,0
11,2.715,0,1.9,1,558,605,625,0,1,0,0,0,0
11,3.397,0,1.33,1,603,597,656,0,1,0,0,0,0
11,3.81,0,4.2,1,603,655,740,1,1,0,0,0,0
11,3.754,0,5.35,1,614,725,740,1,1,0,0,0,0
11,4,0,0.41,1,705,662,675,1,1,0,0,0,0
11,3.142,0,14.78,1,677,662,648,1,1,0,0,0,0
11,3.952,0,0,1,677,691,740,1,1,0,0,0,0
11,2.917,0,7.41,0,624,583,665,0,1,0,1,0,0
11,3.782,1,20.66,1,648,684,708,1,1,0,0,0,1
11,3.561,0,16.08,0,662,633,675,0,1,0,0,0,0
11,3.489,0,7.38,1,636,669,720,0,1,0,0,0,1
11,3.724,0,7.66,1,677,626,640,1,1,0,1,0,0
11,3.884,0,0.41,1,662,669,740,0,1,0,0,0,0
11,3.703,0,13.23,1,705,677,740,1,1,0,0,0,0
11,3.123,0,3.43,1,624,569,720,0,1,0,0,0,0
11,3.496,0,10.84,1,636,619,648,1,1,0,0,0,0
11,3.356,0,9.17,1,636,669,675,1,1,0,0,0,0
11,3.747,0,3.6,1,662,641,690,1,1,0,0,0,0
11,3.933,0,9.84,1,636,669,720,1,1,0,0,0,1
11,3.209,0,4.16,1,614,590,610,0,1,0,0,0,0
11,3.425,0,0.12,1,614,626,648,0,1,0,0,0,0
11,3.514,0,9.97,1,603,612,665,0,1,0,0,0,0
11,3.356,0,1.28,1,614,626,610,0,1,0,0,0,0
11,3.423,0,1.22,1,614,626,690,0,1,0,0,0,0
11,3.658,0,0.89,1,624,612,656,0,1,0,0,0,0
11,3.993,0,2.25,1,575,612,690,1,1,0,0,0,0
11,3.334,0,6.65,1,662,669,740,0,1,0,0,0,0
11,2.933,1,35.87,0,614,648,617,1,1,0,0,0,0
10,3.204,0,3.08,1,661,592,582,0,1,0,1,0,0
9,4,0,2.47,0,660,633,596,1,1,0,0,0,0
9,2.009,0,2.4,0,537,577,552,0,1,0,0,0,0
11,3.26,0,3.66,1,648,641,665,1,1,0,0,0,0
9,2.973,0,2.06,0,568,593,569,0,1,0,1,0,0
9,3.561,0,3.35,0,635,601,650,1,1,0,0,1,0
9,3.772,0,4.19,0,568,569,578,1,1,0,0,0,0
9,3.877,0,3.99,0,592,593,596,1,1,0,0,0,0
10,3.481,0,10.21,0,633,648,607,1,1,0,0,0,0
9,3.53,1,48.07,0,579,561,626,0,1,0,0,0,0
9,2.254,0,3.62,0,509,513,569,0,1,1,0,0,0
10,3.912,0,1.01,1,678,692,676,1,1,0,0,0,1
9,3.562,0,1.48,0,491,553,536,1,0,0,0,1,0
9,3.394,0,4.69,0,619,561,552,1,1,0,0,0,0
9,3.632,0,5.12,0,592,593,587,1,1,0,0,0,0
9,3.929,0,2.56,0,605,569,596,1,1,0,0,0,0
11,2.522,0,7.43,0,584,583,536,0,1,0,0,0,0
9,3.947,0,4.52,0,592,641,650,1,1,0,0,0,0
10,2.705,0,13.89,0,496,522,559,1,1,1,0,1,0
11,2.403,0,10.45,0,558,554,525,1,1,1,0,1,0
9,3.061,0,4.49,0,547,577,596,0,1,0,0,0,0
11,2.614,0,7.03,0,533,569,548,1,1,0,1,0,0
9,3.596,0,1.54,0,509,561,616,1,1,0,0,0,0
10,3.523,0,4.45,0,577,599,516,1,0,0,0,0,0
9,3.737,0,2.64,0,635,601,638,1,1,0,0,0,0
9,4,0,1.68,0,660,601,616,1,1,0,0,0,0
10,3.745,0,5.99,0,621,648,552,1,1,0,0,0,0
9,3.772,0,9.12,0,592,561,596,1,1,0,0,0,0
10,3.15,0,2.73,1,539,627,559,1,0,0,0,0,0
11,3.523,0,5.26,1,677,662,740,1,1,0,0,0,0
10,2.944,0,5.94,1,633,599,615,0,1,0,0,0,0
10,2.737,0,7.31,0,598,592,607,0,1,0,0,0,0
11,3.809,0,5.28,1,705,712,765,0,1,0,0,0,1
10,2.821,0,0.74,0,609,529,664,0,1,0,0,0,0
10,3.487,0,8.43,0,633,592,607,1,1,0,0,0,0
11,3.211,0,4.06,1,624,590,665,1,1,0,0,0,0
9,3.615,0,2.23,0,579,569,638,1,1,0,0,0,0
11,2.95,0,10.47,1,705,725,708,1,1,0,0,0,0
11,2.825,0,16.18,1,614,633,675,0,0,0,0,0,0
10,2.961,0,6.92,0,567,627,582,1,1,0,0,0,0
11,3.314,0,10.29,1,624,669,690,0,1,0,0,0,0
9,3.176,0,14.14,0,592,529,606,0,1,0,0,0,0
11,3.789,0,0.98,1,745,691,720,0,0,0,0,0,1
11,2.814,0,9.5,0,517,576,625,0,1,0,0,0,0
10,3.689,0,2.7,0,661,648,624,1,1,0,0,0,0
10,2.616,0,10.71,0,567,529,544,0,1,1,0,0,0
10,2.897,0,6.58,0,548,571,502,1,1,1,0,0,0
10,3.743,0,0.53,0,587,592,607,0,1,0,0,0,0
10,2.933,0,5.58,1,530,585,552,1,1,0,0,0,0
10,3.245,0,0.71,0,577,578,615,0,1,0,0,0,0
10,1.757,0,10.53,0,567,522,574,0,1,0,0,0,0
10,2.932,0,0,0,488,452,496,1,1,1,0,0,0
10,2.355,0,2.72,0,505,536,582,0,1,0,0,0,0
10,2.473,0,17.27,0,567,529,537,0,1,0,0,1,0
10,3.839,0,1.33,0,609,634,624,1,0,0,0,0,0
10,2.968,0,5.86,0,557,571,567,1,0,0,0,1,0
10,1.97,0,10.82,0,505,515,516,0,1,0,0,1,0
10,3.573,0,2.23,0,539,613,634,1,1,0,0,0,0
10,3.43,0,8.42,0,621,592,582,1,1,0,0,0,0
10,3.307,0,5.62,0,609,620,590,0,1,0,0,0,0
11,3.861,0,6.28,1,648,669,765,1,1,0,0,0,1
10,4,0,4.4,1,678,599,702,1,0,0,0,0,0
9,3.983,0,4.89,0,547,569,650,1,1,0,0,0,0
11,3.522,0,6.22,1,603,576,665,1,1,0,0,0,0
11,2.433,0,11.24,1,575,583,554,0,1,0,0,0,0
11,3.884,0,0.98,1,677,691,800,0,1,0,0,0,1
10,3.516,0,10.57,0,678,648,717,1,1,0,0,0,0
11,3.423,0,3.15,1,541,590,610,1,1,0,0,0,0
11,2.38,0,2.44,1,614,525,590,0,1,0,0,0,0
10,3.689,0,0.3,1,621,641,615,0,1,0,0,0,0
